time stamp,user,full text,image url,Flag
Sat Dec 15 21:20:41 +0000 2018,rubenishining,b'A\\xfan no me llega la pensi\\xf3n de mi gfe puta madre',no url,N
Sat Dec 15 21:14:16 +0000 2018,HenryBurckhardt,b'@GeorgePapa19 bitch bottom',no url,N
Sat Dec 15 21:00:59 +0000 2018,MichaelRapaport,b'@ThePerezHilton Clout Chasing? FOH bitch. You invented the genre. Bottom Feeding Bitch.',no url,N
Sat Dec 15 20:59:46 +0000 2018,Sdisgrace17,b'@EmmaLeeDCi GFE?',no url,N
Sat Dec 15 20:55:04 +0000 2018,escort_sofia,"b""Let's have some fun \\U0001f60a \\n.\\n.\\n.\\n #christmasmarket #cold #loveit #love #happy #partyon #fun #escortlifestyle #escort #companion #gfe #model #follow #followalways https://t.co/YjIe4mOWdn""",http://pbs.twimg.com/media/DufGaotWsAADmwB.jpg,N
Sat Dec 15 20:52:53 +0000 2018,ayekrissy,b'She literally using every fuckin dryer top &amp; fckn bottom like damn bitch u ain\\u2019t wash in months or some shit \\U0001f926\\U0001f3fe\\u200d\\u2640\\ufe0f',no url,N
Sat Dec 15 20:51:54 +0000 2018,BlondieMassage,b'It\\u2019s Sensual Saturday baby !!-  #sensual Massage by the best in #GTA   #erotic #Torontomassage \\n#toronto #massage #spa #gfe #BodyRub #Vaughan   -  \\U0001f48b https://t.co/sTHPPfJjPx',http://pbs.twimg.com/media/DufFrqaXcAEX1RC.jpg,N
Sat Dec 15 20:46:54 +0000 2018,FlorV24,b'@daniel_pperez grax gfe tqm ay te veo ailoviu',no url,N
Sat Dec 15 20:38:58 +0000 2018,SalaciousPamela,"b'@NordicDesire Once Pam reached the bottom of the stairs, entering the dark basement, she found Tiffany barely responsive. \\n\\n""Shit. Fucking bitch. I could be getting banged against a shower wall by now if it wasn\'t for you."" \\n\\nShe hissed, not taking one bit of responsibility as usual. &gt;'",no url,N
Sat Dec 15 20:38:43 +0000 2018,MrManzo,"b'@rotobuzzguy Thank you Mr. Bender. Unfortunately I missed the playoffs this year. But winning last year, I made a rule the bottom 4 compete for being the Beer Bitch. Full makeup, sash and Tierra. I don\\u2019t want any part of that. Thanks for another great year.'",no url,N
Sat Dec 15 20:33:56 +0000 2018,AnnaliseLane,b'Have we meet ? if so \\u2026. $50 off all services\\n\\nhttps://t.co/8BHBuxcxzh\\n780-907-7214 - CALL me \\n\\n@LeoListcc @VIPFavours @discreetlist @erosedmonton \\n#massage #adultfun #yeg #edmonton #gfe #flymetoyou #swingsclub #daty #msog',no url,N
Sat Dec 15 20:33:27 +0000 2018,_laquemanda,b'\\u201cBagel bottom bitch\\u201d',no url,N
Sat Dec 15 20:29:29 +0000 2018,kxnzje,b'@opulentangeI bitch u literally have agreed that im not a bottom dont front like this',no url,N
Sat Dec 15 20:27:04 +0000 2018,unsorsodicaffe,"b'@enzino910r1 @GiuseppeEvangeo @ItalianAirForce Enzo, quando \\xe8 stato impiegato in combattimento l\\u2019AMX si \\xe8 comportato molto bene. \\xc8 verissimo che il motore fosse il punto debole ma come ti ho gi\\xe0 scritto era un GFE scelto dal cliente.'",no url,N
Sat Dec 15 20:24:22 +0000 2018,_JLuisRG,b'@CarloTrejo @diegoluna_ M\\xe1s respeto al gfe de gfes',no url,N
Sat Dec 15 20:23:40 +0000 2018,BaileyEakins,b'Finally found me some bell bottom jeans and oh bitch \\U0001f440',no url,N
Sat Dec 15 20:23:14 +0000 2018,kasheeeez,"b""Pimps back in the day use to put a baby in they bottom bitch but after they done ran a good bag in now &amp; days they just putting babies n how bitches that ain't did shit""",no url,N
